run_id,run_date,model,vignette,temperature,slice,n_trials,mode,validity_rate,jaccard_all,jaccard_valid,modal_set_agreement,bertscore_f1,bertscore_precision,bertscore_recall,alignment_mean,alignment_n_judged,alignment_n_errors,alignment_n_skipped,alignment_pro_fallback,n_confrontation,n_self_empowerment,n_safety,n_cognitive_reframe,n_social_support,n_sensory_modulation,align_confrontation,align_self_empowerment,align_safety,align_cognitive_reframe,align_social_support,align_sensory_modulation,tier
20260730_152457_mistral_large_skeptic,20260730,mistral_large,skeptic,0.075,,20,fused,1.0,0.9333333333333329,0.9333333333333329,0.95,0.7667980194091797,0.7674403786659241,0.7662404775619507,,0,0,0,0,19,1,0,0,0,20,,,,,,,experiment
20260730_152546_mistral_large_skeptic,20260730,mistral_large,skeptic,0.15,,20,fused,1.0,1.0,1.0,1.0,0.7542973756790161,0.7523278594017029,0.7564336061477661,,0,0,0,0,20,0,0,0,0,20,,,,,,,experiment
20260730_152642_mistral_large_skeptic,20260730,mistral_large,skeptic,0.3,,20,fused,1.0,0.7228070175438592,0.7228070175438592,0.75,0.7069749236106873,0.7061067819595337,0.7081944346427917,,0,0,0,0,15,4,0,0,1,20,,,,,,,experiment
20260730_152738_mistral_large_skeptic,20260730,mistral_large,skeptic,0.6,,20,fused,1.0,0.6456140350877182,0.6456140350877182,0.65,0.6846216320991516,0.6856648325920105,0.6843301057815552,,0,0,0,0,13,5,0,0,2,20,,,,,,,experiment
20260730_152831_mistral_large_trauma,20260730,mistral_large,trauma,0.0,,20,fused,1.0,0.9333333333333336,0.9333333333333336,0.95,0.9201473593711853,0.9243549704551697,0.9161791205406189,,0,0,0,0,1,20,0,0,0,19,,,,,,,experiment
20260730_152920_mistral_large_trauma,20260730,mistral_large,trauma,0.075,,20,fused,1.0,0.6807017543859643,0.6807017543859643,0.65,0.7862948775291443,0.7880755066871643,0.7848271131515503,,0,0,0,0,13,20,0,0,0,7,,,,,,,experiment
20260730_153008_mistral_large_trauma,20260730,mistral_large,trauma,0.15,,20,fused,1.0,0.6807017543859639,0.6807017543859639,0.65,0.7004300355911255,0.6949851512908936,0.7063557505607605,,0,0,0,0,13,20,0,0,0,7,,,,,,,experiment
20260730_153104_mistral_large_trauma,20260730,mistral_large,trauma,0.3,,20,fused,1.0,0.7368421052631577,0.7368421052631577,0.75,0.6879860162734985,0.6897199153900146,0.6866748929023743,,0,0,0,0,15,20,0,0,0,5,,,,,,,experiment
20260730_153156_mistral_large_trauma,20260730,mistral_large,trauma,0.6,,20,fused,1.0,0.6526315789473677,0.6526315789473677,0.55,0.67457515001297,0.6764783263206482,0.6736670732498169,,0,0,0,0,11,20,0,0,0,9,,,,,,,experiment
20260730_162343_mistral_small4_anxious,20260730,mistral_small4,anxious,0.0,,20,fused,1.0,0.6052631578947368,0.6052631578947368,0.75,0.7452577948570251,0.7520180344581604,0.7389945387840271,,0,0,0,0,5,0,0,15,15,5,,,,,,,experiment
20260730_162436_mistral_small4_anxious,20260730,mistral_small4,anxious,0.075,,20,fused,1.0,0.8368421052631579,0.8368421052631579,0.9,0.778352677822113,0.7890874147415161,0.7689544558525085,,0,0,0,0,1,0,1,19,18,1,,,,,,,experiment
20260730_162523_mistral_small4_anxious,20260730,mistral_small4,anxious,0.15,,20,fused,1.0,0.873684210526316,0.873684210526316,0.9,0.7823336720466614,0.7787719964981079,0.7866025567054749,,0,0,0,0,0,0,2,20,18,0,,,,,,,experiment
20260730_162602_mistral_small4_anxious,20260730,mistral_small4,anxious,0.3,,20,fused,1.0,0.8140350877192989,0.8140350877192989,0.85,0.7255787253379822,0.7194688320159912,0.7331068515777588,,0,0,0,0,1,0,2,20,17,0,,,,,,,experiment
20260730_162646_mistral_small4_anxious,20260730,mistral_small4,anxious,0.6,,20,fused,1.0,0.4368421052631578,0.4368421052631578,0.4,0.6717973351478577,0.6706737875938416,0.6739624738693237,,0,0,0,0,4,2,8,17,8,1,,,,,,,experiment
20260730_162733_mistral_small4_avoidant,20260730,mistral_small4,avoidant,0.0,,20,fused,1.0,0.45789473684210524,0.45789473684210524,0.4,0.7186271548271179,0.7223106622695923,0.7160295248031616,,0,0,0,0,11,1,4,16,8,0,,,,,,,experiment
20260730_162811_mistral_small4_avoidant,20260730,mistral_small4,avoidant,0.075,,20,fused,1.0,0.6526315789473673,0.6526315789473673,0.55,0.7249771952629089,0.7277875542640686,0.7229772210121155,,0,0,0,0,11,0,0,20,9,0,,,,,,,experiment
20260730_162843_mistral_small4_avoidant,20260730,mistral_small4,avoidant,0.15,,20,fused,1.0,0.6245614035087708,0.6245614035087708,0.55,0.7210062146186829,0.7209144234657288,0.7222244143486023,,0,0,0,0,8,0,1,20,11,0,,,,,,,experiment
20260730_162919_mistral_small4_avoidant,20260730,mistral_small4,avoidant,0.3,,20,fused,1.0,0.4333333333333332,0.4333333333333332,0.45,0.6919475197792053,0.6980607509613037,0.6869638562202454,,0,0,0,0,6,1,6,15,12,0,,,,,,,experiment
20260730_163004_mistral_small4_avoidant,20260730,mistral_small4,avoidant,0.6,,20,fused,1.0,0.40526315789473677,0.40526315789473677,0.35,0.6460281014442444,0.6508462429046631,0.6435912847518921,,0,0,0,0,11,5,2,14,8,0,,,,,,,experiment
20260730_163050_mistral_small4_cooperative,20260730,mistral_small4,cooperative,0.0,,20,fused,1.0,0.8140350877192987,0.8140350877192987,0.85,0.7578495740890503,0.7602726817131042,0.7560762166976929,,0,0,0,0,1,2,17,0,0,20,,,,,,,experiment
20260730_163123_mistral_small4_cooperative,20260730,mistral_small4,cooperative,0.075,,20,fused,1.0,0.9333333333333337,0.9333333333333337,0.95,0.7447341680526733,0.7433415651321411,0.7471637725830078,,0,0,0,0,1,0,19,0,0,20,,,,,,,experiment
20260730_163204_mistral_small4_cooperative,20260730,mistral_small4,cooperative,0.15,,20,fused,1.0,0.7649122807017537,0.7649122807017537,0.8,0.755785346031189,0.7576327919960022,0.75444096326828,,0,0,0,0,1,3,16,0,0,20,,,,,,,experiment
20260730_163243_mistral_small4_cooperative,20260730,mistral_small4,cooperative,0.3,,20,fused,1.0,0.6385964912280692,0.6385964912280692,0.65,0.7071287631988525,0.7048126459121704,0.7103586196899414,,0,0,0,0,4,3,13,0,0,20,,,,,,,experiment
20260730_163330_mistral_small4_cooperative,20260730,mistral_small4,cooperative,0.6,,20,fused,0.95,0.48552631578947353,0.4775828460038984,0.35,0.6798872947692871,0.6825717091560364,0.6782630681991577,,0,0,0,0,10,5,8,0,0,18,,,,,,,experiment
20260730_163442_mistral_small4_resistant,20260730,mistral_small4,resistant,0.0,,20,fused,1.0,1.0,1.0,1.0,0.7848992347717285,0.7841077446937561,0.7859416007995605,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
20260730_163557_mistral_small4_resistant,20260730,mistral_small4,resistant,0.075,,20,fused,1.0,1.0,1.0,1.0,0.6952475905418396,0.6948269605636597,0.696159303188324,,0,0,0,0,0,0,20,20,0,0,,,,,,,experiment
